Document_Index§Dominant_Topic§Topic_Perc_Contrib§Keywords
0§22.0§0.31619998812675476§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
90§22.0§0.49630001187324524§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
91§22.0§0.4862000048160553§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
92§0.0§0.3499000072479248§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
93§3.0§0.5956000089645386§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
94§22.0§0.2897999882698059§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
95§22.0§0.41920000314712524§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
96§15.0§0.3824000060558319§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
97§3.0§0.31060001254081726§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
98§15.0§0.5508000254631042§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
99§15.0§0.33719998598098755§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
100§15.0§0.2467000037431717§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
101§22.0§0.2856000065803528§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
102§22.0§0.3589000105857849§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
103§15.0§0.4577000141143799§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
104§22.0§0.33379998803138733§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
105§0.0§0.30959999561309814§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
106§22.0§0.3488999903202057§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
107§22.0§0.3061999976634979§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
108§15.0§0.2953000068664551§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
109§3.0§0.2874000072479248§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
110§22.0§0.23739999532699585§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
111§22.0§0.28700000047683716§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
112§15.0§0.25270000100135803§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
113§3.0§0.5092999935150146§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
114§22.0§0.28290000557899475§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
115§22.0§0.2786000072956085§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
116§15.0§0.25429999828338623§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
117§22.0§0.28610000014305115§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
118§3.0§0.25600001215934753§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
119§15.0§0.28540000319480896§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
120§22.0§0.52920001745224§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
121§3.0§0.3465999960899353§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
122§15.0§0.35740000009536743§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
123§22.0§0.2919999957084656§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
124§3.0§0.3379000127315521§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
125§22.0§0.4726000130176544§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
126§15.0§0.28220000863075256§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
127§22.0§0.326200008392334§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
128§0.0§0.3061999976634979§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
129§22.0§0.32989999651908875§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
130§22.0§0.2628999948501587§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
131§15.0§0.3418000042438507§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
132§3.0§0.31119999289512634§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
133§0.0§0.32109999656677246§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
134§22.0§0.40790000557899475§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
135§22.0§0.33899998664855957§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
136§3.0§0.33480000495910645§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
137§3.0§0.3230000138282776§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
138§22.0§0.37220001220703125§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
139§3.0§0.2572999894618988§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
140§22.0§0.3181999921798706§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
141§15.0§0.3433000147342682§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
142§22.0§0.2838999927043915§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
143§3.0§0.265500009059906§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
144§0.0§0.2619999945163727§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
145§0.0§0.3450999855995178§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
146§22.0§0.30559998750686646§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
147§0.0§0.23149999976158142§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
148§22.0§0.29350000619888306§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
149§22.0§0.3587999939918518§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
150§22.0§0.2687999904155731§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
151§22.0§0.28529998660087585§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
152§22.0§0.26589998602867126§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
153§22.0§0.30160000920295715§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
154§22.0§0.4896000027656555§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
155§22.0§0.4253999888896942§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
156§15.0§0.47749999165534973§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
157§22.0§0.28690001368522644§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
158§22.0§0.26269999146461487§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
159§22.0§0.30709999799728394§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
160§15.0§0.27239999175071716§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
161§15.0§0.2685999870300293§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
162§15.0§0.274399995803833§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
163§15.0§0.2937999963760376§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
164§22.0§0.3028999865055084§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
165§22.0§0.2793000042438507§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
166§0.0§0.3037000000476837§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
167§22.0§0.23489999771118164§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
168§0.0§0.2612999975681305§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
169§3.0§0.32829999923706055§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
170§0.0§0.2791999876499176§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
171§0.0§0.28130000829696655§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
172§15.0§0.4212999939918518§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
173§22.0§0.3488999903202057§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
174§22.0§0.33169999718666077§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
175§3.0§0.3718000054359436§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
176§3.0§0.25859999656677246§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
177§3.0§0.26759999990463257§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
178§22.0§0.2619999945163727§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
179§0.0§0.27230000495910645§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
180§22.0§0.37529999017715454§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
181§22.0§0.32409998774528503§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
182§3.0§0.4230000078678131§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
183§22.0§0.28769999742507935§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
184§22.0§0.3955000042915344§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
185§22.0§0.46480000019073486§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
186§0.0§0.33320000767707825§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
187§0.0§0.33379998803138733§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
188§22.0§0.32580000162124634§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
189§3.0§0.30079999566078186§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
190§15.0§0.37299999594688416§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
191§22.0§0.34549999237060547§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
192§22.0§0.48069998621940613§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
193§22.0§0.2621000111103058§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
194§22.0§0.3707999885082245§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
195§15.0§0.27559998631477356§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
196§22.0§0.44130000472068787§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
197§0.0§0.3310000002384186§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
198§22.0§0.37860000133514404§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
199§3.0§0.2720000147819519§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
200§0.0§0.30399999022483826§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
201§0.0§0.30059999227523804§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
202§22.0§0.4300000071525574§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
203§22.0§0.33379998803138733§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
204§22.0§0.2632000148296356§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
205§0.0§0.3418999910354614§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
206§15.0§0.25099998712539673§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
207§0.0§0.42669999599456787§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
208§15.0§0.42489999532699585§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
209§15.0§0.32260000705718994§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
210§22.0§0.3515999913215637§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
211§15.0§0.31679999828338623§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
212§0.0§0.30640000104904175§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
213§0.0§0.3395000100135803§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
214§3.0§0.2856000065803528§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
215§3.0§0.3077999949455261§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
216§3.0§0.33970001339912415§homme, vie, autre, etat, humain, bien, besoin, travail, force, puissance
217§22.0§0.289900004863739§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
218§15.0§0.21050000190734863§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
219§0.0§0.2583000063896179§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
220§22.0§0.36390000581741333§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
221§22.0§0.35339999198913574§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
222§15.0§0.3961000144481659§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
223§22.0§0.3538999855518341§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
224§22.0§0.3652999997138977§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
225§22.0§0.39410001039505005§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
226§22.0§0.21799999475479126§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
227§22.0§0.33410000801086426§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
228§0.0§0.35409998893737793§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
229§0.0§0.2619999945163727§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
230§15.0§0.26330000162124634§autre, chose, nature, naturel, homme, effet, principe, seul, existence, non
231§0.0§0.328000009059906§bien, faire, esprit, point, voir, raison, jamais, croire, dire, moins
232§22.0§0.305400013923645§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
233§22.0§0.44179999828338623§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
234§22.0§0.3034999966621399§conscience, faire, dire, encore, tel, falloir, histoire, action, passer, prendre
